,TIME,trade_index,fiscal_index,monetary_index
838,08/07/2015,24,0,0
839,08/07/2016,0,0,0
840,08/07/2018,36,4,18
841,08/07/2019,0,0,0
842,08/07/2020,120,24,48
843,08/07/2021,18,0,0
844,08/07/2022,64,0,6
845,08/08/2014,16,0,0
846,08/08/2015,0,0,0
847,08/08/2016,48,0,0
848,08/08/2017,0,0,0
849,08/08/2018,0,0,0
850,08/08/2019,0,0,0
851,08/08/2020,0,0,0
852,08/08/2021,68,15,0
853,08/08/2022,96,0,0
854,08/09/2014,0,0,0
855,08/09/2015,0,0,0
856,08/09/2017,0,0,0
857,08/09/2018,0,0,0
858,08/09/2019,0,0,0
859,08/09/2020,0,0,0
860,08/09/2021,256,0,0
861,08/09/2022,662,84,306
862,08/10/2012,0,0,0
863,08/10/2013,0,0,0
864,08/10/2015,0,0,0
865,08/10/2016,0,0,0
866,08/10/2018,0,0,0
867,08/10/2019,0,0,0
868,08/10/2020,0,0,0
869,08/10/2021,62,0,9
870,08/10/2022,0,0,0
871,08/11/2012,0,0,0
872,08/11/2013,12,0,0
873,08/11/2014,0,0,0
874,08/11/2015,0,0,0
875,08/11/2016,0,0,0
876,08/11/2017,40,0,0
877,08/11/2018,0,0,0
878,08/11/2019,2,0,0
879,08/11/2020,0,0,0
880,08/11/2021,448,60,60
881,08/11/2022,0,15,0
882,08/12/2012,0,0,0
883,08/12/2014,0,0,0
884,08/12/2015,0,0,0
885,08/12/2016,0,0,0
886,08/12/2017,0,0,0
887,08/12/2020,10,0,0
888,08/12/2021,464,9,184
889,08/12/2022,360,0,480
890,09/01/2014,0,0,0
891,09/01/2015,414,0,0
892,09/01/2017,360,75,0
893,09/01/2019,0,0,0
894,09/01/2020,0,0,0
895,09/01/2022,12,0,0
896,09/01/2023,18,0,0
897,09/02/2012,0,0,0
898,09/02/2013,72,12,24
899,09/02/2015,0,0,0
900,09/02/2016,0,0,0
901,09/02/2017,0,0,0
902,09/02/2018,0,0,0
903,09/02/2020,4,0,0
904,09/02/2021,24,4,0
905,09/02/2022,416,0,80
906,09/02/2023,164,8,80
907,09/03/2012,0,0,0
908,09/03/2014,72,9,9
909,09/03/2015,0,0,0
910,09/03/2016,0,0,0
911,09/03/2017,0,0,0
912,09/03/2018,0,0,0
913,09/03/2019,0,0,0
914,09/03/2020,176,10,0
915,09/03/2021,12,0,0
916,09/03/2022,163,26,2
917,09/03/2023,132,12,36
918,09/04/2012,0,0,0
919,09/04/2015,40,16,0
920,09/04/2016,0,0,0
921,09/04/2019,0,0,0
922,09/04/2020,12,0,0
923,09/04/2021,0,0,0
924,09/05/2012,36,0,0
925,09/05/2013,0,0,0
926,09/05/2014,0,0,0
