,PAPER,TIME,COUNT_NEWS,trade_index,fiscal_index,monetary_index
290,vietnamnet.vn,2011-10-05,2,0,0,0
291,vietnamnet.vn,2011-10-06,18,0,0,0
292,vietnamnet.vn,2011-10-07,18,0,0,0
293,vietnamnet.vn,2011-10-08,14,0,0,0
294,vietnamnet.vn,2011-10-09,5,0,0,0
295,vietnamnet.vn,2011-10-10,17,2,0,0
296,vietnamnet.vn,2011-10-11,18,1,0,0
297,vietnamnet.vn,2011-10-12,13,0,0,16
298,vietnamnet.vn,2011-10-14,14,100,0,3
299,vietnamnet.vn,2011-10-15,8,8,0,0
300,vietnamnet.vn,2011-10-16,3,0,0,0
301,vietnamnet.vn,2011-10-18,18,2,0,4
302,vietnamnet.vn,2011-10-19,14,0,0,0
303,vietnamnet.vn,2011-10-20,12,0,0,0
304,vietnamnet.vn,2011-10-21,13,0,0,0
305,vietnamnet.vn,2011-10-22,8,0,0,0
306,vietnamnet.vn,2011-10-23,3,0,0,0
307,vietnamnet.vn,2011-10-25,8,0,0,0
308,vietnamnet.vn,2011-10-26,16,0,0,0
309,vietnamnet.vn,2011-10-27,16,0,0,0
310,vietnamnet.vn,2011-10-28,13,0,0,0
311,vietnamnet.vn,2011-10-29,9,2,0,0
312,vietnamnet.vn,2011-10-31,13,150,12,0
313,vietnamnet.vn,2011-11-01,16,0,0,0
314,vietnamnet.vn,2011-11-02,17,0,0,0
315,vietnamnet.vn,2011-11-04,15,1,0,0
316,vietnamnet.vn,2011-11-05,9,0,0,0
317,vietnamnet.vn,2011-11-06,4,0,0,0
318,vietnamnet.vn,2011-11-07,15,0,0,0
319,vietnamnet.vn,2011-11-08,14,0,0,0
320,vietnamnet.vn,2011-11-09,15,0,0,0
321,vietnamnet.vn,2011-11-10,12,1,0,0
322,vietnamnet.vn,2011-11-11,7,0,0,0
323,vietnamnet.vn,2011-11-12,4,0,0,0
324,vietnamnet.vn,2011-11-13,7,0,0,0
325,vietnamnet.vn,2011-11-14,16,7,8,4
326,vietnamnet.vn,2011-11-15,17,0,0,0
327,vietnamnet.vn,2011-11-16,15,0,0,0
328,vietnamnet.vn,2011-11-17,16,0,0,0
329,vietnamnet.vn,2011-11-18,2,0,0,0
330,vietnamnet.vn,2011-11-20,1,0,0,0
331,vietnamnet.vn,2011-11-21,15,0,0,0
332,vietnamnet.vn,2011-11-22,14,0,0,0
333,vietnamnet.vn,2011-11-23,17,4,0,0
334,vietnamnet.vn,2011-11-24,20,6,0,0
335,vietnamnet.vn,2011-11-25,13,0,0,0
336,vietnamnet.vn,2011-11-26,9,0,0,0
337,vietnamnet.vn,2011-11-27,7,0,0,0
338,vietnamnet.vn,2011-11-28,16,0,0,0
339,vietnamnet.vn,2011-11-29,13,2,0,0
340,vietnamnet.vn,2011-11-30,18,0,0,0
341,vietnamnet.vn,2011-12-01,19,0,0,0
342,vietnamnet.vn,2011-12-02,14,0,0,0
343,vietnamnet.vn,2011-12-03,9,0,0,0
344,vietnamnet.vn,2011-12-04,11,1,0,0
345,vietnamnet.vn,2011-12-06,16,12,0,0
346,vietnamnet.vn,2011-12-07,18,0,0,0
347,vietnamnet.vn,2011-12-08,19,4,0,0
348,vietnamnet.vn,2011-12-09,19,10,0,6
349,vietnamnet.vn,2011-12-10,11,8,0,0
350,vietnamnet.vn,2011-12-11,8,36,6,18
351,vietnamnet.vn,2011-12-12,11,0,0,0
352,vietnamnet.vn,2011-12-13,11,0,0,0
353,vietnamnet.vn,2011-12-14,14,0,0,0
354,vietnamnet.vn,2011-12-15,21,4,0,0
355,vietnamnet.vn,2011-12-16,18,72,1,145
356,vietnamnet.vn,2011-12-17,10,0,0,0
357,vietnamnet.vn,2011-12-18,9,0,0,0
358,vietnamnet.vn,2011-12-19,10,0,0,0
359,vietnamnet.vn,2011-12-20,13,0,0,0
360,vietnamnet.vn,2011-12-21,10,0,0,0
361,vietnamnet.vn,2011-12-22,18,0,0,0
362,vietnamnet.vn,2011-12-23,20,3,0,0
363,vietnamnet.vn,2011-12-24,15,45,3,40
364,vietnamnet.vn,2011-12-26,16,1,0,0
365,vietnamnet.vn,2011-12-27,16,0,0,0
366,vietnamnet.vn,2011-12-28,13,0,0,0
