,TIME,COUNT_NEWS,trade_index,fiscal_index,monetary_index
478,08/11/2021,2,0,0,0
479,08/11/2022,5,86,0,46
480,08/12/2014,7,96,0,0
481,08/12/2018,1,0,0,0
482,08/12/2020,3,0,0,0
483,08/12/2021,5,72,0,0
484,08/12/2022,4,64,0,0
485,09/01/2015,1,0,0,0
486,09/01/2017,1,0,0,0
487,09/01/2019,1,0,0,0
488,09/01/2020,1,0,0,0
489,09/01/2021,1,0,0,0
490,09/01/2023,3,180,120,144
491,09/02/2015,1,48,24,0
492,09/02/2017,1,0,0,0
493,09/02/2022,2,48,30,40
494,09/02/2023,6,0,0,0
495,09/03/2015,2,0,0,0
496,09/03/2020,2,36,0,0
497,09/03/2021,1,0,0,0
498,09/03/2022,2,0,12,48
499,09/03/2023,4,0,0,0
500,09/04/2015,3,0,0,0
501,09/04/2016,1,0,0,0
502,09/04/2019,4,0,0,0
503,09/04/2020,2,15,0,0
504,09/04/2021,3,0,0,0
505,09/04/2022,1,0,0,0
506,09/05/2014,2,0,0,0
507,09/05/2016,1,0,0,0
508,09/05/2017,3,0,0,0
509,09/05/2019,6,0,12,30
510,09/05/2020,4,210,340,40
511,09/05/2022,2,0,0,0
512,09/05/2023,6,15,54,10
513,09/06/2014,1,0,0,0
514,09/06/2015,2,0,0,0
515,09/06/2016,2,0,0,0
516,09/06/2020,1,0,0,0
517,09/06/2021,3,0,0,0
518,09/06/2022,2,0,0,0
519,09/06/2023,2,40,0,0
520,09/07/2013,1,50,30,25
521,09/07/2014,1,0,0,0
522,09/07/2015,8,210,0,0
523,09/07/2018,1,0,0,0
524,09/07/2019,2,0,0,0
525,09/07/2020,3,15,0,0
526,09/07/2021,6,150,0,216
527,09/08/2019,5,0,0,0
528,09/08/2021,3,0,0,0
529,09/08/2022,5,27,8,0
530,09/08/2023,2,20,0,0
531,09/09/2014,1,0,0,0
532,09/09/2015,1,0,0,0
533,09/09/2016,1,0,0,0
534,09/09/2018,1,0,0,0
535,09/09/2019,2,90,80,12
536,09/09/2020,2,0,0,0
537,09/09/2021,8,0,0,0
538,09/09/2022,1,0,0,0
539,09/10/2018,2,0,0,0
540,09/10/2020,1,0,0,0
541,09/10/2021,1,0,0,0
542,09/11/2018,2,0,0,0
543,09/11/2021,3,0,0,0
544,09/11/2022,3,0,0,0
545,09/12/2020,1,0,0,0
546,09/12/2021,6,132,88,12
547,09/12/2022,1,0,0,0
548,10/01/2019,3,0,0,0
549,10/01/2020,3,0,0,0
550,10/01/2022,3,24,3,0
551,10/01/2023,6,11,0,0
552,10/02/2015,2,0,0,0
553,10/02/2020,2,0,0,0
554,10/02/2021,2,0,0,0
555,10/02/2022,2,0,0,0
556,10/02/2023,3,32,15,12
557,10/03/2015,6,98,0,0
558,10/03/2020,2,6,0,0
559,10/03/2021,1,0,0,0
560,10/03/2022,3,0,0,0
561,10/03/2023,2,12,15,0
562,10/04/2015,1,0,0,0
563,10/04/2019,2,0,0,0
564,10/04/2020,6,30,90,25
565,10/04/2022,1,18,8,12
566,10/04/2023,6,0,0,9
567,10/05/2017,9,0,0,0
568,10/05/2018,4,0,0,0
569,10/05/2019,3,24,0,0
570,10/05/2020,1,0,0,0
571,10/05/2021,3,0,0,0
572,10/05/2022,1,0,0,0
573,10/05/2023,1,0,0,0
574,10/06/2015,2,0,72,0
575,10/06/2018,1,0,0,0
576,10/06/2019,2,6,8,0
577,10/06/2020,2,0,0,0
578,10/06/2021,5,0,0,0
579,10/06/2022,2,462,138,192
580,10/07/2015,4,15,96,15
581,10/07/2018,3,0,0,0
582,10/07/2019,1,216,100,40
583,10/07/2020,2,32,40,0
584,10/07/2021,4,32,40,0
585,10/07/2022,2,0,0,0
586,10/07/2023,4,0,0,0
587,10/08/2015,3,0,0,0
588,10/08/2017,1,0,0,0
589,10/08/2018,1,0,0,0
590,10/08/2019,2,0,0,0
591,10/08/2020,4,0,0,0
592,10/08/2021,3,45,0,0
593,10/08/2022,4,0,0,0
594,10/08/2023,2,0,0,0
595,10/09/2017,1,0,0,0
596,10/09/2019,4,0,0,0
597,10/09/2020,4,0,0,0
598,10/09/2021,9,3,0,0
599,10/09/2022,1,0,0,0
600,10/10/2013,1,0,0,0
601,10/10/2014,2,0,0,0
602,10/10/2018,2,0,0,0
603,10/10/2021,1,2,0,0
604,10/10/2022,4,90,36,60
605,10/11/2014,8,60,0,0
606,10/11/2016,2,0,0,0
607,10/11/2020,1,0,0,0
608,10/11/2021,6,8,0,0
609,10/11/2022,5,0,0,0
610,10/12/2013,1,0,0,0
611,10/12/2014,5,0,0,0
612,10/12/2015,1,0,0,0
613,10/12/2018,3,0,0,0
614,10/12/2020,4,0,0,0
615,10/12/2021,4,12,0,0
616,10/12/2022,1,0,0,0
617,11/01/2019,1,0,0,0
618,11/01/2021,3,60,0,0
619,11/01/2022,2,90,0,0
620,11/01/2023,2,0,0,0
621,11/02/2015,5,0,0,0
622,11/02/2019,1,0,0,0
623,11/02/2020,3,0,0,0
624,11/02/2021,1,16,0,0
625,11/02/2022,4,90,0,36
626,11/02/2023,1,0,0,0
627,11/03/2014,5,0,0,0
628,11/03/2015,1,96,0,0
629,11/03/2016,1,0,0,0
630,11/03/2020,1,48,0,0
631,11/03/2021,1,0,0,0
632,11/03/2022,2,2,0,0
633,11/04/2017,2,0,0,0
634,11/04/2018,4,0,0,0
635,11/04/2019,1,80,0,0
636,11/04/2020,1,16,0,0
637,11/04/2022,2,0,0,0
638,11/04/2023,6,12,0,0
639,11/05/2015,1,0,0,0
640,11/05/2016,2,0,0,0
641,11/05/2017,1,0,0,0
642,11/05/2018,3,0,0,0
643,11/05/2020,1,12,60,9
644,11/05/2021,4,87,0,0
645,11/05/2022,1,0,0,0
646,11/05/2023,1,0,0,0
647,11/06/2015,1,0,0,0
648,11/06/2019,2,0,0,0
649,11/06/2020,1,0,0,0
650,11/06/2021,2,0,0,0
651,11/06/2023,1,0,0,0
652,11/07/2016,2,0,0,0
653,11/07/2017,12,0,0,0
654,11/07/2018,1,0,0,0
655,11/07/2022,3,0,0,0
656,11/07/2023,3,0,0,0
657,11/08/2015,2,0,96,40
658,11/08/2018,1,0,0,0
659,11/08/2019,1,0,0,0
660,11/08/2021,13,52,0,0
661,11/08/2022,5,32,0,8
662,11/08/2023,7,0,0,0
663,11/09/2014,5,0,0,0
664,11/09/2015,2,0,0,0
665,11/09/2018,3,0,0,0
666,11/09/2020,3,12,0,0
667,11/10/2018,3,12,0,0
668,11/10/2021,7,0,44,18
669,11/10/2022,2,0,60,0
670,11/11/2014,2,0,0,0
671,11/11/2015,1,40,0,0
672,11/11/2018,2,2,0,0
673,11/11/2019,1,0,0,0
674,11/11/2020,6,72,0,0
675,11/11/2021,2,0,0,0
676,11/11/2022,7,106,125,450
677,11/12/2014,3,0,0,0
678,11/12/2018,3,2,0,0
679,11/12/2020,3,16,0,0
680,11/12/2021,1,0,0,0
681,12/01/2015,1,0,60,25
682,12/01/2022,2,0,0,0
683,12/01/2023,5,20,0,0
684,12/02/2019,1,0,0,0
685,12/02/2020,2,60,0,0
686,12/02/2021,1,8,0,0
687,12/03/2014,2,0,0,0
688,12/03/2015,9,0,0,0
689,12/03/2016,4,1,0,0
690,12/03/2019,1,0,0,0
691,12/03/2020,5,0,0,0
692,12/03/2021,2,0,0,0
693,12/03/2023,1,0,0,0
694,12/04/2017,2,0,0,0
695,12/04/2019,1,0,0,0
696,12/04/2021,1,0,0,0
697,12/04/2022,3,0,0,0
698,12/04/2023,4,0,0,0
699,12/05/2014,2,0,0,0
700,12/05/2015,6,0,0,0
701,12/05/2016,2,0,0,0
702,12/05/2017,3,0,0,0
703,12/05/2020,3,0,0,0
704,12/05/2021,3,0,0,0
705,12/05/2022,5,120,27,18
706,12/05/2023,2,120,0,0
707,12/06/2014,1,0,0,0
708,12/06/2015,10,0,0,0
709,12/06/2017,1,0,0,0
710,12/06/2019,1,0,0,0
711,12/06/2020,5,0,0,0
712,12/06/2021,1,0,0,0
713,12/06/2023,5,0,0,0
714,12/07/2018,3,20,0,0
715,12/07/2019,4,16,0,0
716,12/07/2021,6,15,0,0
717,12/07/2022,4,100,60,40
