,PAPER,TIME,COUNT_NEWS,trade_index,fiscal_index,monetary_index
222,sbv.gov.vn,2006-08-09,4,6,0,0
223,sbv.gov.vn,2006-08-13,2,0,0,0
224,sbv.gov.vn,2006-08-14,2,3,0,0
225,sbv.gov.vn,2006-08-16,1,0,0,0
226,sbv.gov.vn,2006-08-17,1,0,0,0
227,sbv.gov.vn,2006-08-20,2,0,0,0
228,sbv.gov.vn,2006-08-23,3,6,0,0
229,sbv.gov.vn,2006-08-24,5,0,0,0
230,sbv.gov.vn,2006-08-28,1,0,0,0
231,sbv.gov.vn,2006-08-29,2,34,0,100
232,sbv.gov.vn,2006-08-31,1,0,0,0
233,sbv.gov.vn,2006-09-04,1,0,0,0
234,sbv.gov.vn,2006-09-07,5,0,0,0
235,sbv.gov.vn,2006-09-10,2,0,0,0
236,sbv.gov.vn,2006-09-11,4,0,0,0
237,sbv.gov.vn,2006-09-17,3,24,6,6
238,sbv.gov.vn,2006-09-19,3,0,0,0
239,sbv.gov.vn,2006-10-04,7,0,0,0
240,sbv.gov.vn,2006-10-09,2,0,0,0
241,sbv.gov.vn,2006-10-12,3,0,0,0
242,sbv.gov.vn,2006-10-15,1,0,0,0
243,sbv.gov.vn,2006-10-19,2,0,0,0
244,sbv.gov.vn,2006-10-24,1,0,0,0
245,sbv.gov.vn,2006-10-26,2,0,0,0
246,sbv.gov.vn,2006-10-29,2,0,0,0
247,sbv.gov.vn,2006-10-31,1,0,0,0
248,sbv.gov.vn,2006-11-01,2,0,0,0
249,sbv.gov.vn,2006-11-06,1,0,0,0
250,sbv.gov.vn,2006-11-07,1,20,0,0
251,sbv.gov.vn,2006-11-08,1,0,0,0
252,sbv.gov.vn,2006-11-13,1,0,0,0
253,sbv.gov.vn,2006-11-15,2,0,0,0
254,sbv.gov.vn,2006-11-16,2,0,40,175
255,sbv.gov.vn,2006-11-19,2,6,0,24
256,sbv.gov.vn,2006-11-23,1,0,0,0
257,sbv.gov.vn,2006-11-27,2,6,0,0
258,sbv.gov.vn,2006-11-28,1,0,0,0
259,sbv.gov.vn,2006-12-05,1,0,0,0
260,sbv.gov.vn,2006-12-06,2,0,0,0
261,sbv.gov.vn,2006-12-07,1,0,0,0
262,sbv.gov.vn,2006-12-11,1,0,0,0
263,sbv.gov.vn,2006-12-25,1,0,0,0
264,sbv.gov.vn,2006-12-26,2,6,0,9
265,sbv.gov.vn,2006-12-28,2,0,0,0
266,sbv.gov.vn,2006-12-29,1,0,0,0
267,sbv.gov.vn,2007-01-02,1,4,0,18
268,sbv.gov.vn,2007-01-04,3,0,0,0
269,sbv.gov.vn,2007-01-05,3,0,0,0
270,sbv.gov.vn,2007-01-09,4,0,0,0
271,sbv.gov.vn,2007-01-10,2,0,0,0
272,sbv.gov.vn,2007-01-15,5,0,0,0
273,sbv.gov.vn,2007-01-16,3,0,0,0
274,sbv.gov.vn,2007-01-17,1,0,0,0
275,sbv.gov.vn,2007-01-18,1,0,0,0
276,sbv.gov.vn,2007-01-19,3,0,9,12
277,sbv.gov.vn,2007-01-22,1,0,0,0
278,sbv.gov.vn,2007-01-23,2,0,0,0
279,sbv.gov.vn,2007-01-25,1,0,0,0
280,sbv.gov.vn,2007-01-26,2,0,0,0
281,sbv.gov.vn,2007-01-29,2,0,0,0
282,sbv.gov.vn,2007-02-01,4,20,40,250
283,sbv.gov.vn,2007-02-02,3,8,0,4
284,sbv.gov.vn,2007-02-08,2,6,0,6
285,sbv.gov.vn,2007-02-09,2,0,0,0
286,sbv.gov.vn,2007-02-12,2,0,0,0
287,sbv.gov.vn,2007-02-26,1,0,0,0
288,sbv.gov.vn,2007-02-27,3,104,138,240
289,sbv.gov.vn,2007-02-28,1,0,0,0
290,sbv.gov.vn,2007-03-05,1,0,0,0
291,sbv.gov.vn,2007-03-06,1,4,0,0
292,sbv.gov.vn,2007-03-07,1,0,0,0
293,sbv.gov.vn,2007-03-09,2,0,0,0
294,sbv.gov.vn,2007-03-13,2,0,0,0
295,sbv.gov.vn,2007-03-14,1,0,0,0
296,sbv.gov.vn,2007-03-15,1,0,0,0
297,sbv.gov.vn,2007-03-19,1,0,0,0
298,sbv.gov.vn,2007-03-20,2,0,0,0
299,sbv.gov.vn,2007-03-21,1,0,0,0
300,sbv.gov.vn,2007-03-22,4,0,0,0
301,sbv.gov.vn,2007-03-23,1,0,0,0
302,sbv.gov.vn,2007-03-28,4,0,0,0
303,sbv.gov.vn,2007-03-30,3,0,0,12
304,sbv.gov.vn,2007-04-02,1,0,0,0
305,sbv.gov.vn,2007-04-04,3,0,0,0
306,sbv.gov.vn,2007-04-06,3,0,0,0
307,sbv.gov.vn,2007-04-11,2,0,0,0
308,sbv.gov.vn,2007-04-13,2,0,0,0
309,sbv.gov.vn,2007-04-16,1,0,0,0
310,sbv.gov.vn,2007-04-18,1,0,0,0
311,sbv.gov.vn,2007-04-20,3,0,0,0
312,sbv.gov.vn,2007-04-23,1,0,0,0
313,sbv.gov.vn,2007-04-25,1,0,0,0
314,sbv.gov.vn,2007-04-27,1,0,0,0
315,sbv.gov.vn,2007-05-03,2,0,0,0
316,sbv.gov.vn,2007-05-04,1,0,0,0
317,sbv.gov.vn,2007-05-10,3,0,0,0
318,sbv.gov.vn,2007-05-11,1,0,0,0
319,sbv.gov.vn,2007-05-18,3,0,0,0
320,sbv.gov.vn,2007-05-23,1,6,0,0
321,sbv.gov.vn,2007-05-24,2,0,0,0
322,sbv.gov.vn,2007-05-25,3,0,0,0
323,sbv.gov.vn,2007-05-28,1,0,0,0
324,sbv.gov.vn,2007-05-30,1,0,0,0
325,sbv.gov.vn,2007-06-05,1,12,0,0
326,sbv.gov.vn,2007-06-06,1,0,0,0
327,sbv.gov.vn,2007-06-07,2,6,0,0
328,sbv.gov.vn,2007-06-12,2,0,0,0
329,sbv.gov.vn,2007-06-15,1,0,0,0
330,sbv.gov.vn,2007-06-18,1,2,0,9
331,sbv.gov.vn,2007-06-22,1,0,0,0
332,sbv.gov.vn,2007-06-25,2,0,0,0
333,sbv.gov.vn,2007-06-26,4,4,0,3
334,sbv.gov.vn,2007-06-27,2,6,0,0
335,sbv.gov.vn,2007-06-29,3,0,0,0
336,sbv.gov.vn,2007-07-02,4,0,0,2
337,sbv.gov.vn,2007-07-03,3,8,0,0
338,sbv.gov.vn,2007-07-04,4,0,0,0
339,sbv.gov.vn,2007-07-05,2,0,0,0
340,sbv.gov.vn,2007-07-10,2,0,0,0
341,sbv.gov.vn,2007-07-11,3,0,0,0
342,sbv.gov.vn,2007-07-12,1,0,0,0
343,sbv.gov.vn,2007-07-13,4,0,0,0
344,sbv.gov.vn,2007-07-16,1,0,0,0
345,sbv.gov.vn,2007-07-17,3,0,0,24
346,sbv.gov.vn,2007-07-19,2,0,0,0
347,sbv.gov.vn,2007-07-20,2,0,0,0
348,sbv.gov.vn,2007-07-24,1,0,0,0
349,sbv.gov.vn,2007-07-25,5,8,0,6
350,sbv.gov.vn,2007-07-30,1,0,0,0
351,sbv.gov.vn,2007-07-31,1,0,0,0
352,sbv.gov.vn,2007-08-02,1,0,0,0
353,sbv.gov.vn,2007-08-03,1,45,36,64
354,sbv.gov.vn,2007-08-06,3,0,0,0
355,sbv.gov.vn,2007-08-07,4,0,0,0
356,sbv.gov.vn,2007-08-08,2,0,0,0
357,sbv.gov.vn,2007-08-10,3,0,0,0
